FIPSCode,State,CountyName,PopulationEstimate_2012
1001,AL,Autauga,55514
1003,AL,Baldwin,190790
1005,AL,Barbour,27201
1007,AL,Bibb,22597
1009,AL,Blount,57826
1011,AL,Bullock,10474
1013,AL,Butler,20307
1015,AL,Calhoun,117296
1017,AL,Chambers,34064
1019,AL,Cherokee,26021
1021,AL,Chilton,43819
1023,AL,Choctaw,13633
1025,AL,Clarke,25161
1027,AL,Clay,13435
1029,AL,Cleburne,14832
1031,AL,Coffee,51252
1033,AL,Colbert,54446
1035,AL,Conecuh,12981
1037,AL,Coosa,10966
1039,AL,Covington,37955
1041,AL,Crenshaw,14083
1043,AL,Cullman,80440
1045,AL,Dale,50444
1047,AL,Dallas,42864
1049,AL,DeKalb,71080
1051,AL,Elmore,80629
1053,AL,Escambia,37994
1055,AL,Etowah,104392
1057,AL,Fayette,16983
1059,AL,Franklin,31761
1061,AL,Geneva,26931
1063,AL,Greene,8876
1065,AL,Hale,15388
1067,AL,Henry,17287
1069,AL,Houston,103402
1071,AL,Jackson,53019
1073,AL,Jefferson,660009
1075,AL,Lamar,14259
1077,AL,Lauderdale,92542
1079,AL,Lawrence,33838
1081,AL,Lee,147257
1083,AL,Limestone,87654
1085,AL,Lowndes,10857
1087,AL,Macon,20535
1089,AL,Madison,343080
1091,AL,Marengo,20401
1093,AL,Marion,30327
1095,AL,Marshall,94776
1097,AL,Mobile,413936
1099,AL,Monroe,22602
1101,AL,Montgomery,230149
1103,AL,Morgan,120395
1105,AL,Perry,10181
1107,AL,Pickens,19405
1109,AL,Pike,33182
1111,AL,Randolph,22675
1113,AL,Russell,57820
1115,AL,St. Clair,85237
1117,AL,Shelby,200941
1119,AL,Sumter,13427
1121,AL,Talladega,81762
1123,AL,Tallapoosa,41168
1125,AL,Tuscaloosa,198596
1127,AL,Walker,66221
1129,AL,Washington,17109
1131,AL,Wilcox,11431
1133,AL,Winston,24108
2013,AK,Aleutians East,3161
2016,AK,Aleutians West,5547
2020,AK,Anchorage,298610
2050,AK,Bethel,17746
2060,AK,Bristol Bay,991
2068,AK,Denali,1875
2070,AK,Dillingham,5034
2090,AK,Fairbanks North Star,100272
2100,AK,Haines,2552
2105,AK,Hoonah-Angoon,2129
2110,AK,Juneau,32556
2122,AK,Kenai Peninsula,56900
2130,AK,Ketchikan Gateway,13779
2150,AK,Kodiak Island,14239
2164,AK,Lake and Peninsula,1654
2170,AK,Matanuska-Susitna,93925
2180,AK,Nome,9915
2185,AK,North Slope,9643
2188,AK,Northwest Arctic,7810
2195,AK,Petersburg,3844
2198,AK,Prince of Wales-Hyder,5751
2220,AK,Sitka,9046
2230,AK,Skagway,959
2240,AK,Southeast Fairbanks,7144
2261,AK,Valdez-Cordova,9717
2270,AK,Wade Hampton,7809
2275,AK,Wrangell,2403
2282,AK,Yakutat,668
2290,AK,Yukon-Koyukuk,5770
4001,AZ,Apache,73195
4003,AZ,Cochise,132088
4005,AZ,Coconino,136011
4007,AZ,Gila,53144
4009,AZ,Graham,37416
4011,AZ,Greenlee,8802
4012,AZ,La Paz,20281
4013,AZ,Maricopa,3942169
4015,AZ,Mohave,203334
4017,AZ,Navajo,107094
4019,AZ,Pima,992394
4021,AZ,Pinal,387365
4023,AZ,Santa Cruz,47303
4025,AZ,Yavapai,212637
4027,AZ,Yuma,200022
5001,AR,Arkansas,18892
5003,AR,Ashley,21524
5005,AR,Baxter,41048
5007,AR,Benton,232268
5009,AR,Boone,37327
5011,AR,Bradley,11397
5013,AR,Calhoun,5307
5015,AR,Carroll,27610
5017,AR,Chicot,11433
5019,AR,Clark,22936
5021,AR,Clay,15684
5023,AR,Cleburne,25808
5025,AR,Cleveland,8627
5027,AR,Columbia,24473
5029,AR,Conway,21287
5031,AR,Craighead,99735
5033,AR,Crawford,61946
5035,AR,Crittenden,50021
5037,AR,Cross,17683
5039,AR,Dallas,7987
5041,AR,Desha,12545
5043,AR,Drew,18743
5045,AR,Faulkner,118704
5047,AR,Franklin,18045
5049,AR,Fulton,12318
5051,AR,Garland,96903
5053,AR,Grant,17986
5055,AR,Greene,43163
5057,AR,Hempstead,22373
5059,AR,Hot Spring,33394
5061,AR,Howard,13735
5063,AR,Independence,37025
5065,AR,Izard,13474
5067,AR,Jackson,17600
5069,AR,Jefferson,74723
5071,AR,Johnson,25901
5073,AR,Lafayette,7447
5075,AR,Lawrence,17012
5077,AR,Lee,10216
5079,AR,Lincoln,14101
5081,AR,Little River,12919
5083,AR,Logan,21983
5085,AR,Lonoke,69839
5087,AR,Madison,15645
5089,AR,Marion,16568
5091,AR,Miller,43634
5093,AR,Mississippi,45562
5095,AR,Monroe,7828
5097,AR,Montgomery,9340
5099,AR,Nevada,8925
5101,AR,Newton,8086
5103,AR,Ouachita,25396
5105,AR,Perry,10339
5107,AR,Phillips,20784
5109,AR,Pike,11247
5111,AR,Poinsett,24307
5113,AR,Polk,20471
5115,AR,Pope,62765
5117,AR,Prairie,8458
5119,AR,Pulaski,388953
5121,AR,Randolph,17930
5123,AR,St. Francis,27858
5125,AR,Saline,111845
5127,AR,Scott,11010
5129,AR,Searcy,8007
5131,AR,Sebastian,127304
5133,AR,Sevier,17177
5135,AR,Sharp,17054
5137,AR,Stone,12663
5139,AR,Union,40867
5141,AR,Van Buren,17030
5143,AR,Washington,211411
5145,AR,White,78493
5147,AR,Woodruff,7100
5149,AR,Yell,21932
6001,CA,Alameda,1554720
6003,CA,Alpine,1129
6005,CA,Amador,37035
6007,CA,Butte,221539
6009,CA,Calaveras,44742
6011,CA,Colusa,21411
6013,CA,Contra Costa,1079597
6015,CA,Del Norte,28290
6017,CA,El Dorado,180561
6019,CA,Fresno,947895
6021,CA,Glenn,27992
6023,CA,Humboldt,134827
6025,CA,Imperial,176948
6027,CA,Inyo,18495
6029,CA,Kern,856158
6031,CA,Kings,151364
6033,CA,Lake,63983
6035,CA,Lassen,33658
6037,CA,Los Angeles,9962789
6039,CA,Madera,152218
6041,CA,Marin,256069
6043,CA,Mariposa,17905
6045,CA,Mendocino,87428
6047,CA,Merced,262305
6049,CA,Modoc,9327
6051,CA,Mono,14348
6053,CA,Monterey,426762
6055,CA,Napa,139045
6057,CA,Nevada,98292
6059,CA,Orange,3090132
6061,CA,Placer,361682
6063,CA,Plumas,19399
6065,CA,Riverside,2268783
6067,CA,Sacramento,1450121
6069,CA,San Benito,56884
6071,CA,San Bernardino,2081313
6073,CA,San Diego,3177063
6075,CA,San Francisco,825863
6077,CA,San Joaquin,702612
6079,CA,San Luis Obispo,274804
6081,CA,San Mateo,739311
6083,CA,Santa Barbara,431249
6085,CA,Santa Clara,1837504
6087,CA,Santa Cruz,266776
6089,CA,Shasta,178586
6091,CA,Sierra,3086
6093,CA,Siskiyou,44154
6095,CA,Solano,420757
6097,CA,Sonoma,491829
6099,CA,Stanislaus,521726
6101,CA,Sutter,95022
6103,CA,Tehama,63406
6105,CA,Trinity,13526
6107,CA,Tulare,451977
6109,CA,Tuolumne,54008
6111,CA,Ventura,835981
6113,CA,Yolo,204118
6115,CA,Yuba,72926
8001,CO,Adams,459598
8003,CO,Alamosa,16148
8005,CO,Arapahoe,595546
8007,CO,Archuleta,12070
8009,CO,Baca,3751
8011,CO,Bent,5773
8013,CO,Boulder,305318
8014,CO,Broomfield,58298
8015,CO,Chaffee,18150
8017,CO,Cheyenne,1874
8019,CO,Clear Creek,9026
8021,CO,Conejos,8275
8023,CO,Costilla,3594
8025,CO,Crowley,5365
8027,CO,Custer,4249
8029,CO,Delta,30432
8031,CO,Denver,634265
8033,CO,Dolores,1994
8035,CO,Douglas,298215
8037,CO,Eagle,51874
8039,CO,Elbert,23383
8041,CO,El Paso,644964
8043,CO,Fremont,46788
8045,CO,Garfield,56953
8047,CO,Gilpin,5491
8049,CO,Grand,14195
8051,CO,Gunnison,15475
8053,CO,Hinsdale,810
8055,CO,Huerfano,6596
8057,CO,Jackson,1348
8059,CO,Jefferson,545358
8061,CO,Kiowa,1444
8063,CO,Kit Carson,8094
8065,CO,Lake,7338
8067,CO,La Plata,52401
8069,CO,Larimer,310487
8071,CO,Las Animas,14945
8073,CO,Lincoln,5453
8075,CO,Logan,22631
8077,CO,Mesa,147848
8079,CO,Mineral,709
8081,CO,Moffat,13200
8083,CO,Montezuma,25431
8085,CO,Montrose,40725
8087,CO,Morgan,28472
8089,CO,Otero,18698
8091,CO,Ouray,4530
8093,CO,Park,16029
8095,CO,Phillips,4367
8097,CO,Pitkin,17263
8099,CO,Prowers,12389
8101,CO,Pueblo,160852
8103,CO,Rio Blanco,6857
8105,CO,Rio Grande,11943
8107,CO,Routt,23334
8109,CO,Saguache,6304
8111,CO,San Juan,690
8113,CO,San Miguel,7580
8115,CO,Sedgwick,2383
8117,CO,Summit,28044
8119,CO,Teller,23389
8121,CO,Washington,4766
8123,CO,Weld,263691
8125,CO,Yuma,10119
9001,CT,Fairfield,933835
9003,CT,Hartford,897259
9005,CT,Litchfield,187530
9007,CT,Middlesex,165602
9009,CT,New Haven,862813
9011,CT,New London,274170
9013,CT,Tolland,151539
9015,CT,Windham,117599
10001,DE,Kent,167626
10003,DE,New Castle,546076
10005,DE,Sussex,203390
11001,DC,District of Columbia,632323
12001,FL,Alachua,251417
12003,FL,Baker,27086
12005,FL,Bay,171903
12007,FL,Bradford,27049
12009,FL,Brevard,547307
12011,FL,Broward,1815137
12013,FL,Calhoun,14723
12015,FL,Charlotte,162449
12017,FL,Citrus,139360
12019,FL,Clay,194345
12021,FL,Collier,332427
12023,FL,Columbia,67966
12027,FL,DeSoto,34712
12029,FL,Dixie,16126
12031,FL,Duval,879602
12033,FL,Escambia,302715
12035,FL,Flagler,98359
12037,FL,Franklin,11686
12039,FL,Gadsden,46528
12041,FL,Gilchrist,16815
12043,FL,Glades,13107
12045,FL,Gulf,15718
12047,FL,Hamilton,14708
12049,FL,Hardee,27514
12051,FL,Hendry,37447
12053,FL,Hernando,173422
12055,FL,Highlands,98128
12057,FL,Hillsborough,1277746
12059,FL,Holmes,19804
12061,FL,Indian River,140567
12063,FL,Jackson,48968
12065,FL,Jefferson,14256
12067,FL,Lafayette,8804
12069,FL,Lake,303186
12071,FL,Lee,645293
12073,FL,Leon,283769
12075,FL,Levy,40025
12077,FL,Liberty,8276
12079,FL,Madison,18907
12081,FL,Manatee,333895
12083,FL,Marion,335125
12085,FL,Martin,148817
12086,FL,Miami-Dade,2591035
12087,FL,Monroe,74809
12089,FL,Nassau,74629
12091,FL,Okaloosa,190083
12093,FL,Okeechobee,39467
12095,FL,Orange,1202234
12097,FL,Osceola,287416
12099,FL,Palm Beach,1356545
12101,FL,Pasco,470391
12103,FL,Pinellas,921319
12105,FL,Polk,616158
12107,FL,Putnam,73263
12109,FL,St. Johns,202188
12111,FL,St. Lucie,283866
12113,FL,Santa Rosa,158512
12115,FL,Sarasota,386147
12117,FL,Seminole,430838
12119,FL,Sumter,101620
12121,FL,Suwannee,43656
12123,FL,Taylor,22744
12125,FL,Union,15212
12127,FL,Volusia,496950
12129,FL,Wakulla,30818
12131,FL,Walton,57582
12133,FL,Washington,24892
13001,GA,Appling,18368
13003,GA,Atkinson,8284
13005,GA,Bacon,11198
13007,GA,Baker,3366
13009,GA,Baldwin,46367
13011,GA,Banks,18316
13013,GA,Barrow,70169
13015,GA,Bartow,100661
13017,GA,Ben Hill,17538
13019,GA,Berrien,19041
13021,GA,Bibb,156462
13023,GA,Bleckley,12913
13025,GA,Brantley,18587
13027,GA,Brooks,15403
13029,GA,Bryan,32214
13031,GA,Bulloch,72694
13033,GA,Burke,23125
13035,GA,Butts,23524
13037,GA,Calhoun,6504
13039,GA,Camden,51402
13043,GA,Candler,11117
13045,GA,Carroll,111580
13047,GA,Catoosa,65046
13049,GA,Charlton,13295
13051,GA,Chatham,276434
13053,GA,Chattahoochee,13037
13055,GA,Chattooga,25725
13057,GA,Cherokee,221315
13059,GA,Clarke,120266
13061,GA,Clay,3116
13063,GA,Clayton,265888
13065,GA,Clinch,6718
13067,GA,Cobb,707442
13069,GA,Coffee,43170
13071,GA,Colquitt,46137
13073,GA,Columbia,131627
13075,GA,Cook,16923
13077,GA,Coweta,130929
13079,GA,Crawford,12600
13081,GA,Crisp,23606
13083,GA,Dade,16490
13085,GA,Dawson,22422
13087,GA,Decatur,27509
13089,GA,DeKalb,707089
13091,GA,Dodge,21329
13093,GA,Dooly,14318
13095,GA,Dougherty,94501
13097,GA,Douglas,133971
13099,GA,Early,10594
13101,GA,Echols,3988
13103,GA,Effingham,53293
13105,GA,Elbert,19684
13107,GA,Emanuel,22898
13109,GA,Evans,10689
13111,GA,Fannin,23492
13113,GA,Fayette,107524
13115,GA,Floyd,96177
13117,GA,Forsyth,187928
13119,GA,Franklin,21894
13121,GA,Fulton,977773
13123,GA,Gilmer,28190
13125,GA,Glascock,3142
13127,GA,Glynn,81022
13129,GA,Gordon,55766
13131,GA,Grady,25440
13133,GA,Greene,16092
13135,GA,Gwinnett,842046
13137,GA,Habersham,43520
13139,GA,Hall,185416
13141,GA,Hancock,8996
13143,GA,Haralson,28400
13145,GA,Harris,32550
13147,GA,Hart,25518
13149,GA,Heard,11633
13151,GA,Henry,209053
13153,GA,Houston,146136
13155,GA,Irwin,9600
13157,GA,Jackson,60571
13159,GA,Jasper,13630
13161,GA,Jeff Davis,15156
13163,GA,Jefferson,16432
13165,GA,Jenkins,9213
