FIPS,MEDHHINC10,POVRATE10,CHILDPOVRATE10,Unemployment_rate_2012
1001,53049,11.9,17.5,6.9
1003,47618,13.3,20.2,7.5
1005,33074,25.3,36.2,11.5
1007,35472,20.9,28.6,8.6
1009,42906,16.5,24.1,6.9
1011,25969,31.1,40.3,10.4
1013,29500,28.1,39.6,11.6
1015,37916,23.5,31.5,8.9
1017,30061,28.5,43.5,9.9
1019,34410,21.2,33.1,8
1021,38553,20.4,32,7.2
1023,32003,20.7,29.9,10.3
1025,33739,24.9,33.5,15
1027,33035,20.6,29.8,9.4
1029,37566,17.8,26.8,8.2
1031,40779,20.1,30,7.1
1033,37455,19.2,32.2,8.8
1035,27855,25.7,41,11.9
1037,33721,18.6,29.5,9.4
1039,33484,20.9,30.2,8.4
1041,35577,20.3,30.3,8.3
1043,37948,19.2,26.8,7.7
1045,41287,17.8,25.6,7.4
1047,26195,35.6,56.5,12.9
1049,34822,20.8,31.6,9.1
1051,51013,12.5,18.4,6.9
1053,31365,26.1,35.6,9.2
1055,36088,19,28.8,8.2
1057,32643,27.3,36,8.6
1059,33649,21.6,34.2,8.4
1061,34418,20.3,31.6,7.6
1063,27117,31,40.9,13.6
1065,31790,24.8,35.7,11.5
1067,37851,18.1,28.8,8.3
1069,39290,17.9,28,7.6
1071,36158,19.9,28.6,8.6
1073,41740,18.6,27.7,7.4
1075,32993,21.5,31.4,7.5
1077,39213,17.6,25.7,7.7
1079,37365,18.1,24.1,9
1081,40102,21.3,20.6,6.8
1083,49667,14.1,19.5,6.9
1085,28754,30.7,45.8,15.4
1087,27041,31.2,46.8,10.7
1089,54633,12.7,18,7
1091,33085,23.6,32.5,10.2
1093,32080,20.9,31.1,8.9
1095,38859,19.4,30.9,7.8
1097,39753,20.5,28.9,9.2
1099,31744,28.4,49.9,12.6
1101,41556,21.3,32.3,8.1
1103,44859,14.1,21.4,7.8
1105,24742,39.5,54.3,13.4
1107,31032,24.4,35.5,10.2
1109,32771,30,37.7,8
1111,32584,24.8,36.5,9.2
1113,32733,24.1,35.8,8.8
1115,48296,13,19.8,6.9
1117,67135,9.8,13.2,5
1119,25586,31.3,42.8,10.5
1121,35646,22.7,33.6,9.4
1123,34440,18.3,29.5,8.6
1125,43098,18,23.4,7
1127,36044,23.2,34.6,9.2
1129,37639,19.6,28.5,11.9
1131,21611,39.6,52.5,20
1133,32574,20.3,31.9,10
2013,47077,16.8,16.4,6.8
2016,58517,9,11,6.9
2020,70524,9.6,12.2,5.4
2050,45481,22.6,30.2,15.4
2060,62912,8.8,9.1,9.8
2068,61004,5.6,6.7,13.8
2070,46845,20.6,29.5,9.9
2090,60472,9.4,12.5,6.1
2100,46111,12.1,19.5,10
2110,69844,8.2,10,5.1
2122,57347,10.7,14.4,8.6
2130,58073,10,14.8,8.1
2150,59847,8.3,10.3,6.7
2164,39794,17.7,25.3,15.2
2170,68670,10.9,14.1,8.6
2180,43147,24.6,30.7,11.7
2185,68744,11.4,13.2,7.7
2188,49466,20,21.9,15.7
2220,58000,9.1,11.8,5.7
2105,38122,19.4,26.4,14.4
2240,54508,13.4,21.7,12.9
2261,60297,9,11.2,9.7
2270,30883,34.1,46,0
2195,52294,10.6,15.6,8.1
2282,49331,14.7,22.6,9.7
2290,35177,27.1,34.9,17.4
4001,30651,34.5,41.8,19
4003,43677,17.7,26.9,9
4005,43051,23.8,28.1,8.6
4007,37430,19.8,33.6,10.2
4009,39299,21.6,26.3,8.5
4011,49592,12.7,16.7,8.2
4012,33818,23.7,38.1,8.6
4013,50424,16.6,23.5,7.3
4015,36446,18.7,33.8,11
4017,37723,27.8,36.4,14.1
4019,44293,17.8,25.1,7.4
4021,49833,14.4,18.4,8.6
4023,33952,28,43.5,15.4
4025,40562,18.3,28,8.6
4027,40609,21.1,32,23.9
5001,38129,18.6,28.3,8.8
5003,37042,19.4,31.8,12.2
5005,34421,15.7,27.2,8.4
5007,52417,10.2,13.9,6
5009,35532,16,26.3,7.6
5011,31047,28.5,43.4,11.1
5013,36955,15.6,22.6,9.1
5015,33789,16.4,26.5,6.3
5017,27321,30.7,44.1,11.4
5019,33433,22.2,28.4,10.1
5021,31976,18.3,28.6,11
5023,35472,18.6,29.1,8.5
5025,40402,15.5,22.7,7.4
5027,34538,25.6,35.5,9
5029,37475,18.2,26.4,9.2
5031,37780,21.1,27.3,6.9
5033,39672,15.8,24.2,8
5035,33938,30.3,45.9,9.6
5037,35080,19.6,29.5,7.9
5039,31350,19.4,33.5,11.5
5041,29586,28,41.7,9.9
5043,34952,20.9,30,10.7
5045,46199,14.8,17.4,6.6
5047,38514,17.2,26.6,7.1
5049,30191,18.9,31.2,7.2
5051,36690,21.7,38,7.9
5053,45347,11.9,18.5,6.8
5055,36391,17,25.7,8.7
5057,31786,21.8,33.2,7.3
5059,37243,15.3,26.4,7.2
5061,32543,21,30.5,6.7
5063,35888,18.2,27.2,9.2
5065,29883,18.6,32.2,8.8
5067,30405,25.8,35.9,10.8
5069,35092,22.7,34.1,10
5071,32326,21.9,31.3,7.4
5073,29084,23.2,35.8,9.5
5075,32869,22.4,35.2,9.1
5077,25944,37.5,46.1,9.5
5079,35070,28.5,32.7,8.7
5081,37260,17.8,26,7.3
5083,36015,17.1,28.2,8
5085,50021,12.4,17.5,6.4
5087,34547,19.3,29.7,5.9
5089,31438,19.5,36.4,8.3
5091,37806,20.1,30.9,5.9
5093,32169,25,36.2,11
5095,28637,26.6,36.9,9.1
5097,32032,22.2,35.2,8.5
5099,32896,25.2,38.4,7.8
5101,30965,23.3,37.1,7.3
5103,35971,20.3,31.2,10.5
5105,39054,16.8,26.6,9.1
5107,26933,36,51.8,11.6
5109,31569,21.2,32.3,9.1
5111,32130,27.1,39,8.7
5113,29938,22.8,36,7.4
5115,39040,17.7,24.8,7.3
5117,36898,18.3,29.2,7.6
5119,44733,17.1,25.3,6.9
5121,33401,19.2,31.4,10.8
5123,29825,32.7,47,10.8
5125,53430,9.6,14.5,6.1
5127,29633,22.5,36.2,6.7
5129,27896,23.7,42,8.2
5131,38724,20.5,30.9,7.9
5133,35279,23.5,31.8,8.8
5135,28933,25.1,39.3,10.2
5137,29182,22.4,37.5,8.3
5139,36934,21.6,33,9.2
5141,32142,20.9,33.2,10.1
5143,39692,19.6,24.7,5.6
5145,39974,16.7,22.3,7.9
5147,27003,25.9,43.4,10.2
5149,33522,20.3,30.2,6.7
6001,66937,13.5,17.2,8.7
6003,44241,16.9,29.2,11.4
6005,49516,12.8,17,12.3
6007,41168,20.1,25.1,12.2
6009,50745,11.1,18.3,12.4
6011,44981,14.9,22.9,20.7
6013,73678,9.3,12.7,8.9
6015,35438,23.5,30.6,13.5
6017,65201,9.4,11.6,10.2
6019,44869,26.8,38.2,15.1
6021,40859,17.6,25.6,14.2
6023,38254,18,22,9.6
