FIPS,P_NOHS,P_HSONLY,P_SOMECOLLEGE,P_BACHELORS
max,53.7,54.8,47.8,78.8
1001,12.8,33.5,30.4,23.2
1003,10.5,28.8,31.8,29
1005,26.7,34.5,26.3,12.5
1007,19.3,42.1,27.9,10.6
1009,21.5,33.4,32.2,12.9
1011,35.1,33.3,17.7,13.9
1013,22.2,37.7,25.6,14.5
1015,19.1,31.8,31.5,17.6
1017,21.1,38.4,29,11.6
1019,20.5,36.4,29.3,13.8
1021,21.6,39.2,25.1,14.1
1023,23.6,36.8,27.8,11.8
1025,19.5,43.9,23.7,12.9
1027,24.9,36.3,29.2,9.6
1029,24.9,38.3,24.8,12.1
1031,15.4,29.5,31.3,23.9
1033,16.1,34.5,30.7,18.6
1035,21.9,44.5,25.4,8.2
1037,25.9,37.6,28,8.5
1039,20.2,33.6,31.9,14.3
1041,22,38,25.7,14.3
1043,18.2,34.7,32.6,14.6
1045,14.6,32.2,36.8,16.4
1047,21.9,34.6,29.4,14
1049,27.6,35.2,26,11.2
1051,13.4,35.4,29.8,21.4
1053,20.1,42.1,25.2,12.5
1055,17.5,31.9,34.5,16
1057,22.4,38.8,24.6,14.1
1059,25.4,37.5,25.7,11.4
1061,21,37.1,29.6,12.3
1063,24.1,38.9,26,10.9
1065,19.3,42.9,23.9,13.9
1067,21.2,35.5,26.8,16.5
1069,15.3,33.1,31,20.6
1071,23.1,39.8,24.6,12.4
1073,11.6,26.5,31.2,30.8
1075,22.6,37.1,28.8,11.5
1077,15.7,34.1,28.4,21.8
1079,21.1,40.6,27.1,11.1
1081,11.4,25.5,29.1,34
1083,16.9,32.1,27.8,23.2
1085,25.9,35.3,24.7,14.1
1087,18.6,30.9,31.2,19.3
1089,9.3,21.3,30,39.4
1091,15.4,42,27.4,15.3
1093,21.9,34.5,32.1,11.5
1095,22.5,31.9,29,16.6
1097,14.7,32.8,30.5,22
1099,19.2,44.7,23.9,12.2
1101,14.6,26,28.2,31.1
1103,17.2,31,30.5,21.3
1105,25.4,38.6,22.7,13.2
1107,21.3,42.2,26.6,9.9
1109,20.3,33.9,22.5,23.4
1111,24.3,35.6,25.1,15.1
1113,17.7,31.4,33.8,17.1
1115,16.8,35.5,32,15.6
1117,8.6,21.4,29.2,40.8
1119,21.7,40.5,21.5,16.3
1121,20.7,36.3,29.9,13.1
1123,20.2,34.4,28.1,17.3
1125,13,30.5,28,28.5
1127,21.7,36.5,31,10.8
1129,19.5,46.1,24.5,9.9
1131,22.6,41.3,23.5,12.5
1133,25.6,33.7,29.3,11.4
2013,18.3,39.4,28.2,14
2016,16,37,32.2,14.7
2020,7,24.1,35.6,33.2
2050,21,43.6,23.7,11.6
2060,8,30.7,41.3,20
2068,4.8,23.9,38,33.3
2070,13.5,38.1,32.2,16.2
2090,5.6,23.4,39.2,31.7
2100,4.6,27.7,32.1,35.6
2110,5.2,21.1,35.2,38.5
2122,6.6,33.1,37.5,22.8
2130,8.1,32.8,35.3,23.8
2150,9.6,27.3,38.4,24.7
2164,12.7,42.9,31.5,12.9
