FIPS,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES11,SODATAX_VENDM11,CHIPSTAX_STORES11,CHIPSTAX_VENDM11,FOOD_TAX11
max,1.395075,1.241477,1.242792,7.25,8,7,8,7
1001,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1003,1.01769,1.001391,0.9401653,4,4,4,4,4
1005,1.136671,0.9925836,1.0594,4,4,4,4,4
1007,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1009,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1011,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1013,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1015,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1017,0.8567245,0.9908802,0.799857,4,4,4,4,4
1019,0.8567245,0.9908802,0.799857,4,4,4,4,4
1021,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1023,1.136671,0.9925836,1.0594,4,4,4,4,4
1025,1.136671,0.9925836,1.0594,4,4,4,4,4
1027,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1029,0.8567245,0.9908802,0.799857,4,4,4,4,4
1031,1.136671,0.9925836,1.0594,4,4,4,4,4
1033,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1035,1.136671,0.9925836,1.0594,4,4,4,4,4
1037,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1039,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1041,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1043,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1045,1.136671,0.9925836,1.0594,4,4,4,4,4
1047,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1049,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1051,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1053,1.136671,0.9925836,1.0594,4,4,4,4,4
1055,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1057,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1059,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1061,1.136671,0.9925836,1.0594,4,4,4,4,4
1063,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1065,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1067,1.136671,0.9925836,1.0594,4,4,4,4,4
1069,1.136671,0.9925836,1.0594,4,4,4,4,4
1071,1.136671,0.9925836,1.0594,4,4,4,4,4
1073,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1075,1.136671,0.9925836,1.0594,4,4,4,4,4
1077,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1079,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1081,1.136671,0.9925836,1.0594,4,4,4,4,4
1083,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1085,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1087,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1089,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1091,1.136671,0.9925836,1.0594,4,4,4,4,4
1093,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1095,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1097,1.01769,1.001391,0.9401653,4,4,4,4,4
1099,1.136671,0.9925836,1.0594,4,4,4,4,4
1101,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1103,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1105,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1107,1.136671,0.9925836,1.0594,4,4,4,4,4
1109,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1111,0.8567245,0.9908802,0.799857,4,4,4,4,4
1113,1.136671,0.9925836,1.0594,4,4,4,4,4
1115,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1117,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1119,1.136671,0.9925836,1.0594,4,4,4,4,4
1121,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1123,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1125,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1127,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1129,1.136671,0.9925836,1.0594,4,4,4,4,4
1131,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1133,0.9703046,0.9722159,0.9232891,4,4,4,4,4
2010,,,,,,,,
2013,,,,0,0,0,0,0
2016,,,,0,0,0,0,0
2020,,,,0,0,0,0,0
2050,,,,0,0,0,0,0
2060,,,,0,0,0,0,0
2068,,,,0,0,0,0,0
2070,,,,0,0,0,0,0
2090,,,,0,0,0,0,0
2100,,,,0,0,0,0,0
2105,,,,0,0,0,0,0
2110,,,,0,0,0,0,0
2122,,,,0,0,0,0,0
2130,,,,0,0,0,0,0
2150,,,,0,0,0,0,0
2164,,,,0,0,0,0,0
2170,,,,0,0,0,0,0
2180,,,,0,0,0,0,0
2185,,,,0,0,0,0,0
2188,,,,0,0,0,0,0
2195,,,,0,0,0,0,0
2198,,,,0,0,0,0,0
2201,,,,,,,,
2220,,,,0,0,0,0,0
2230,,,,0,0,0,0,0
2231,,,,,,,,
2232,,,,,,,,
2240,,,,0,0,0,0,0
2261,,,,0,0,0,0,0
2270,,,,0,0,0,0,0
2275,,,,0,0,0,0,0
2280,,,,,,,,
2282,,,,0,0,0,0,0
2290,,,,0,0,0,0,0
4001,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4003,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4005,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4007,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4009,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4011,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4012,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4013,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4015,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4017,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4019,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4021,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4023,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4025,0.7460754,0.9951802,0.6935429,0,0,0,0,0
4027,0.7460754,0.9951802,0.6935429,0,0,0,0,0
5001,1.053402,0.9502338,1.025548,2,2,2,2,2
5003,1.095938,0.9748207,1.040049,2,2,2,2,2
5005,1.095938,0.9748207,1.040049,2,2,2,2,2
5007,1.095938,0.9748207,1.040049,2,2,2,2,2
5009,1.095938,0.9748207,1.040049,2,2,2,2,2
5011,1.053402,0.9502338,1.025548,2,2,2,2,2
5013,1.053402,0.9502338,1.025548,2,2,2,2,2
5015,1.095938,0.9748207,1.040049,2,2,2,2,2
5017,1.053402,0.9502338,1.025548,2,2,2,2,2
5019,1.053402,0.9502338,1.025548,2,2,2,2,2
5021,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5023,1.053402,0.9502338,1.025548,2,2,2,2,2
5025,1.053402,0.9502338,1.025548,2,2,2,2,2
5027,1.095938,0.9748207,1.040049,2,2,2,2,2
5029,1.053402,0.9502338,1.025548,2,2,2,2,2
5031,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5033,1.053402,0.9502338,1.025548,2,2,2,2,2
5035,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5037,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5039,1.053402,0.9502338,1.025548,2,2,2,2,2
5041,1.053402,0.9502338,1.025548,2,2,2,2,2
5043,1.053402,0.9502338,1.025548,2,2,2,2,2
5045,1.053402,0.9502338,1.025548,2,2,2,2,2
5047,1.053402,0.9502338,1.025548,2,2,2,2,2
5049,1.095938,0.9748207,1.040049,2,2,2,2,2
5051,1.053402,0.9502338,1.025548,2,2,2,2,2
5053,1.053402,0.9502338,1.025548,2,2,2,2,2
5055,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5057,1.095938,0.9748207,1.040049,2,2,2,2,2
5059,1.053402,0.9502338,1.025548,2,2,2,2,2
5061,1.095938,0.9748207,1.040049,2,2,2,2,2
5063,1.053402,0.9502338,1.025548,2,2,2,2,2
5065,1.053402,0.9502338,1.025548,2,2,2,2,2
5067,1.053402,0.9502338,1.025548,2,2,2,2,2
5069,1.053402,0.9502338,1.025548,2,2,2,2,2
5071,1.053402,0.9502338,1.025548,2,2,2,2,2
5073,1.095938,0.9748207,1.040049,2,2,2,2,2
5075,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5077,0.9703046,0.9722159,0.9232891,2,2,2,2,2
5079,1.053402,0.9502338,1.025548,2,2,2,2,2
5081,1.095938,0.9748207,1.040049,2,2,2,2,2
5083,1.053402,0.9502338,1.025548,2,2,2,2,2
5085,1.053402,0.9502338,1.025548,2,2,2,2,2
5087,1.095938,0.9748207,1.040049,2,2,2,2,2
5089,1.095938,0.9748207,1.040049,2,2,2,2,2
