FIPS,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,PCT_OBESE_CHILD11,PCT_HSPA09,RECFACPTH12
1001,11.8,30.5,13.5,19.4,0.09006737
1003,11.8,26.6,13.3,19.4,0.104827297
1005,14.2,37.3,18.6,19.4,0.036763354
1007,11.1,34.3,13.7,19.4,0
1009,14,30.4,18.5,19.4,0.017293259
1011,17.5,42.1,17.6,19.4,0
1013,16,38.3,14.4,19.4,0.049244103
1015,13.9,33.2,13.1,19.4,0.059678079
1017,15,35.4,11.7,19.4,0
1019,13.6,31.4,15.4,19.4,0.038430498
1021,12.5,38.3,17.4,19.4,0.045642301
1023,17.3,38.9,7,19.4,0
1025,15.7,36,15.8,19.4,0.079488097
1027,14.7,35.3,12.3,19.4,0
1029,13.3,31.3,12.7,19.4,0
1031,12.6,29.9,15.2,19.4,0.078045735
1033,13.7,32.2,15.7,19.4,0.091834111
1035,17.7,36.3,20.1,19.4,0
1037,15.6,34.3,16.9,19.4,0
1039,13.7,33.8,8.1,19.4,0.05269398
1041,14.8,35.7,12.7,19.4,0
1043,13,32.4,15,19.4,0.037294878
1045,13.9,35.3,11.5,19.4,0.019823963
1047,15.1,41.4,9.4,19.4,0.023329601
1049,12.9,32.4,20.9,19.4,0.042205965
1051,12.3,30.6,12.1,19.4,0.062012427
1053,13.2,36.9,13.9,19.4,0.052639891
1055,14.1,31.8,18.7,19.4,0.086213503
1057,15.8,36.4,8.5,19.4,0
1059,14.2,34.3,27,19.4,0.094455464
1061,13.6,34,15.3,19.4,0
1063,19.4,47.9,18,19.4,0
1065,16.3,41.6,7.6,19.4,0
1067,14.3,34.6,18.5,19.4,0.057846937
1069,13,34.9,15.2,19.4,0.087038935
1071,13.4,30,13.9,19.4,0.018861163
1073,11.7,32.2,12.3,19.4,0.099998636
1075,13.8,31.3,12.9,19.4,0
1077,12.5,32.2,17.2,19.4,0.097253139
1079,14.1,37.7,15.2,19.4,0.029552574
1081,9.8,32,11.3,19.4,0.047535941
1083,10.7,33.8,19.8,19.4,0.079859447
1085,19.3,43.8,7.2,19.4,0.092106475
1087,16.6,39.2,14.1,19.4,0
1089,11.7,30,14.4,19.4,0.134079515
1091,17.4,41.6,17,19.4,0.09803441
1093,12.9,33,20.7,19.4,0.032973918
1095,13.6,31.5,20.7,19.4,0.063307166
1097,12.1,33.9,10.1,19.4,0.067643307
1099,13.9,35.9,11.1,19.4,0
1101,14.3,35.3,12.5,19.4,0.078210203
1103,11.9,28.5,16.3,19.4,0.049835957
1105,18.2,38.9,11.6,19.4,0
1107,15.7,38.5,10,19.4,0.10306622
1109,14.6,36,11.3,19.4,0.090410464
1111,14.8,34.2,12.9,19.4,0
1113,13.2,36.5,11.9,19.4,0.051885161
1115,13.5,32.9,13.1,19.4,0.035195983
1117,8.9,29.6,18.4,19.4,0.109484874
1119,16,40.1,12.6,19.4,0.0744768
1121,14.1,38.4,12.7,19.4,0
1123,14,35.1,14.2,19.4,0.048581422
1125,10.5,33.2,12.5,19.4,0.070494874
1127,15.1,36,15.5,19.4,0.075504749
1129,13.4,35.9,12.7,19.4,0
1131,18.1,41.6,19.7,19.4,0
1133,12.1,35.7,13.8,19.4,0
2013,7.7,32.3,,20.2,0
2016,6.7,30,,20.2,0
2020,7,25.7,,20.2,0.120558588
2050,6.7,31.5,,20.2,0
2060,8.3,31.1,,20.2,0
2068,6.8,24.7,,20.2,0
2070,8.2,31.8,,20.2,0
2090,6.1,29.1,,20.2,0.07978299
2100,8.3,29.6,,20.2,0
2110,6.3,26,,20.2,0.215014129
2122,6.7,27.5,,20.2,0.175746924
2130,7.2,29.2,,20.2,0.290296829
2150,6.1,30.1,,20.2,0
2164,8.4,31.5,,20.2,0
2170,6.8,29.8,,20.2,0.074527549
2180,7.8,35.6,,20.2,0
2185,7.6,35.6,,20.2,0.103702167
2188,7.2,29.7,,20.2,0
2220,7.5,28.2,,20.2,0.110546098
2240,6.7,31.7,,20.2,0
2261,6.7,28.3,,20.2,0.205824843
2270,6.7,27.6,,20.2,0
2282,8.6,31.6,,20.2,0
2290,8.2,29,,20.2,0
4001,14.9,31.8,11,25.7,0
4003,9,24.7,7.2,25.7,0.075707104
4005,7.3,23.3,9.3,25.7,0.073523465
4007,11.2,26.3,10.6,25.7,0.075267199
4009,10.8,33.9,13.4,25.7,0.053453068
4011,9.3,34.2,8.6,25.7,0
4012,13.4,31.2,,25.7,0
4013,8,22.8,14.9,25.7,0.067221877
4015,12,27.1,11.7,25.7,0.068852233
4017,11.6,31.7,11,25.7,0.018675183
4019,7.9,24.1,15.3,25.7,0.104797087
4021,10.4,31.4,13.6,25.7,0.025815445
4023,6.4,20.1,16.7,25.7,0.021140308
4025,9.3,23.4,10.2,25.7,0.11286841
4027,9.7,31.1,16.4,25.7,0.049994501
5001,14.4,35.4,12,24.3,0
5003,11.9,38,13.5,24.3,0
5005,10.8,28.5,10,24.3,0.097446891
5007,8.7,27.6,14.9,24.3,0.090412799
5009,11.8,27.3,14.1,24.3,0.026790259
5011,14,34,24.1,24.3,0.087742388
5013,12,34.2,11.4,24.3,0
5015,11.4,28.7,19.1,24.3,0.072437523
5017,15.2,36.8,16.6,24.3,0
5019,11.5,32.6,17.3,24.3,0.087199163
5021,12.7,32,15.3,24.3,0.063759245
5023,12.9,28.8,18.2,24.3,0.038747675
5025,13,34.9,16.1,24.3,0
5027,12.7,33.5,12.5,24.3,0.16344543
5029,12.9,35.7,16.4,24.3,0.093954056
5031,11.5,34.1,15.7,24.3,0.080212563
5033,10.2,35.9,11.8,24.3,0.064572369
5035,14,38.1,13.5,24.3,0.039983207
5037,13,36.5,10.7,24.3,0.11310298
5039,13.6,33,15.5,24.3,0
5041,13.7,36.9,9,24.3,0
5043,12.6,32.3,11.6,24.3,0
5045,10.4,29.4,13.7,24.3,0.058970212
5047,12.1,33.6,5.6,24.3,0
5049,12.2,31.1,13.7,24.3,0
5051,11.1,28.3,16.1,24.3,0.061917588
5053,11,36.1,9.7,24.3,0
5055,14.9,37.8,16.3,24.3,0.092671964
5057,14.3,36.3,16,24.3,0.044696733
5059,11.5,33.4,11.2,24.3,0.029945499
5061,12.7,35.7,13.7,24.3,0.072806698
5063,11.7,29.8,14.3,24.3,0.054017556
5065,11,30.3,8.9,24.3,0
5067,13.8,37.1,15.3,24.3,0
5069,15.2,40,12.6,24.3,0.01338276
5071,11.9,34.9,20,24.3,0.038608548
5073,13,30.9,15.5,24.3,0
5075,12.4,38,14,24.3,0
5077,13.2,34.6,14.8,24.3,0
5079,10.9,32.9,12.7,24.3,0.070916956
5081,12.3,32.9,18.7,24.3,0
5083,12.7,33.2,12.5,24.3,0.045489697
5085,10.8,31.2,11,24.3,0.042955942
2105,,,,,
2195,,,,,
5087,13.5,32.8,15.3,24.3,0
