FIPS,FMRKTPTH13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,PCT_FMRKT_WICCASH13,PCT_FMRKT_SFMNP13
max,1.358695652,100,100,100,100
1001,0.018013474,0,0,0,0
1003,0.020965459,0,0,0,75
1005,0.110290063,0,0,0,0
1007,0.044253662,0,0,0,0
1009,0.017293259,0,100,0,100
1011,0.095474508,0,0,0,0
1013,0.098488206,0,0,0,50
1015,0.02557632,33,0,0,67
1017,0.029356505,0,0,0,0
1019,0.038430498,0,0,0,0
1021,0,,,,
1023,0.073351427,0,0,0,0
1025,0.079488097,50,0,0,100
1027,0.148864905,0,0,0,0
1029,0.067421791,0,0,0,0
1031,0.019511434,0,0,0,100
1033,0.055100467,33,33.33333333,33.33333333,33
1035,0.077035668,0,0,0,100
1037,0,,,,
1039,0.05269398,0,0,0,0
1041,0.071007598,0,0,0,0
1043,0.012431626,0,0,0,100
1045,0.039647926,0,0,0,50
1047,0.023329601,100,100,100,100
1049,0.042205965,0,0,0,0
1051,0.012402485,0,0,0,0
1053,0.078959836,0,0,0,0
1055,0.028737834,0,0,0,67
1057,0.058882412,0,0,0,0
1059,0.062970309,50,0,0,50
1061,0,,,,
1063,0.225326724,0,0,50,50
1065,0.064985703,0,0,0,0
1067,0.115693874,0,0,0,0
1069,0.029012978,0,0,0,100
1071,0.018861163,0,0,0,0
1073,0.024242094,6,6.25,0,38
1075,0.070131145,0,0,0,0
1077,0.010805904,0,0,0,0
1079,0.029552574,100,100,0,100
1081,0.027163395,25,25,25,25
1083,0.011408492,0,0,0,0
1085,0.092106475,0,0,0,0
1087,0.048697346,0,0,0,100
1089,0.017488632,17,16.66666667,0,17
1091,0.09803441,0,0,0,0
1093,0.065947835,0,0,0,50
1095,0.042204778,0,0,0,50
1097,0.014494994,17,16.66666667,0,17
1099,0.088487744,0,0,0,0
1101,0.017380045,0,0,0,25
1103,0.016611986,0,0,0,0
1105,0.196444357,0,50,0,50
1107,0.10306622,0,0,0,100
1109,0.030136821,0,0,0,0
1111,0,,,,
1113,0.017295054,0,0,0,0
1115,0.011731994,0,0,0,0
1117,0.039812681,12,12.5,0,38
1119,0.0744768,0,0,0,0
1121,0.012230621,100,0,100,100
1123,0.072872134,0,0,0,67
1125,0.015106044,67,66.66666667,33.33333333,100
1127,0.01510095,0,0,0,0
1129,0.05844877,0,0,0,0
1131,0.262444231,0,0,0,0
1133,0.041480007,0,0,0,100
2010,,,,,
2013,0,,,,
2016,0,,,,
2020,0.023441948,43,57.14285714,42.85714286,57
2050,0,,,,
2060,0,,,,
2068,0,,,,
2070,0.198649186,0,0,0,0
2090,0.029918621,33,100,0,33
2100,0.39184953,0,0,0,0
2105,,,,,
2110,0,,,,
2122,0.087873462,20,40,0,40
2130,0,,,,
2150,0,,,,
2164,0,,,,
2170,0.074527549,0,14.28571429,14.28571429,14
2180,0,,,,
2185,0,,,,
2188,0,,,,
2195,,,,,
2198,,,,,
2201,,,,,
2220,0.110546098,100,100,100,0
2230,,,,,
2231,,,,,
2232,,,,,
2240,0.139977604,0,0,0,0
2261,0.308737265,0,0,0,0
2270,0,,,,
2275,,,,,
2280,,,,,
2282,0,,,,
2290,0.346620451,50,50,50,50
4001,0.013662135,0,0,0,0
4003,0.022712131,33,100,100,67
4005,0.007352347,100,100,100,100
4007,0.0188168,0,100,100,100
4009,0.026726534,0,100,100,0
4011,0,,,,
4012,0,,,,
4013,0.008371026,36,39.39393939,42.42424242,39
4015,0,,,,
4017,0.028012774,0,33.33333333,33.33333333,33
4019,0.02116095,33,33.33333333,47.61904762,29
4021,0.005163089,0,0,0,0
4023,0.105701541,20,20,20,20
4025,0.042325654,44,55.55555556,55.55555556,56
4027,0.00499945,0,0,0,0
5001,0.105864916,0,0,0,0
5003,0.046459766,0,0,0,0
5005,0.097446891,0,0,0,0
5007,0.025832228,33,50,0,50
5009,0.080370777,0,33.33333333,0,33
5011,0,,,,
5013,0,,,,
5015,0.108656284,33,33.33333333,0,100
5017,0.087466107,0,0,0,0
5019,0.043599581,0,0,0,0
5021,0.063759245,0,0,0,0
5023,0.038747675,0,0,0,0
5025,0,,,,
5027,0.040861357,0,0,0,0
5029,0.046977028,0,0,0,0
5031,0.020053141,50,50,0,0
5033,0.016143092,0,0,0,0
5035,0,,,,
5037,0.05655149,0,100,0,0
5039,0,,,,
5041,0,,,,
5043,0,,,,
5045,0.025272948,0,33.33333333,0,0
5047,0,,,,
5049,0,,,,
5051,0.020639196,0,50,0,0
5053,0.055598799,0,0,0,0
5055,0.023167991,0,0,0,0
5057,0.044696733,0,0,0,0
5059,0,,,,
5061,0.072806698,0,100,0,0
5063,0,,,,
5065,0.074217011,0,0,0,0
5067,0.056818182,0,0,0,0
5069,0.026765521,50,50,50,0
5071,0.077217096,0,0,0,0
5073,0,,,,
5075,0.117564072,0,0,0,0
5077,0.09788567,0,0,0,0
5079,0,,,,
5081,0.077405372,0,0,0,0
5083,0.045489697,0,0,0,0
5085,0,,,,
5087,0.063918185,0,0,0,0
5089,0.060357315,0,0,0,100
5091,0.045835816,0,0,0,0
5093,0.043896229,0,0,0,0
5095,0,,,,
5097,0.107066381,0,0,0,0
5099,0.112044818,0,0,0,0
5101,0,,,,
5103,0.03937628,0,0,0,0
5105,0.096721153,0,0,0,0
5107,0.096227868,0,0,0,0
5109,0,,,,
5111,0,,,,
5113,0.097699184,0,0,0,0
5115,0.031864893,0,50,0,0
5117,0,,,,
5119,0.023139043,0,11.11111111,0,0
5121,0.055772448,0,0,0,0
5123,0.035896331,0,0,0,0
5125,0.008940945,0,0,0,0
5127,0.090826521,0,0,0,0
5129,0.124890721,0,0,0,0
5131,0.023565638,0,0,0,0
5133,0,,,,
5135,0.05863727,0,0,0,0
5137,0.078970228,0,0,0,0
5139,0,,,,
5141,0.058719906,0,0,0,0
5143,0.023650614,60,60,0,60
5145,0.038219969,33,33.33333333,0,33
5147,0,,,,
5149,0,,,,
6001,0.023798497,65,72.97297297,27.02702703,73
6003,0,,,,
6005,0.135007425,0,60,0,60
6007,0.031597145,43,57.14285714,28.57142857,57
6009,0.067051093,0,33.33333333,0,67
6011,0.093409929,50,50,50,50
6013,0.023156789,68,76,12,72
6015,0.03534818,0,0,0,0
6017,0.044306356,88,87.5,37.5,88
