FIPS,VEG_ACRESPTH07,FRESHVEG_ACRESPTH07,ORCHARD_ACRESPTH07,BERRY_ACRESPTH07,PC_DIRSALES07,AGRITRSM_RCT07,GHVEG_SQFTPTH07
1001,19.02,,7.705582534,,2.01,228000,0
1003,13.28,,25.073055,0.457136244,4.16,124000,0
1005,1.09,1.008878128,35.20984665,,0.37,163000,0
1007,3.03,,,0.279264603,2.14,,0
1009,10.35,10.21700137,3.393943657,0.492385608,7.59,293000,
1011,12.28,,103.5929236,,3.85,116000,0
1013,3.96,,12.05354938,,0.5,97000,0
1015,0.41,0.336855542,0.496418694,0.141833912,0.71,,0
1017,1.12,1.122916127,2.792893956,0,1.93,89000,
1019,4.69,,1.470948762,0.204298439,2.2,102000,0
1021,9.74,9.607667249,47.33015438,0.637363675,13.48,,0
1023,3.67,3.667654112,1.974890676,,,0,0
1025,1.74,1.741368867,3.331314355,0.037855845,1.32,23000,0
1027,,,1.524832994,1.4522219,2.25,,1887.888469
1029,1.16,1.157092295,3.539341138,0,1.7,,0
1031,2.7,2.691962569,6.70854164,0.170918258,2.03,8000,0
1033,1.12,,0.695894224,0.036626012,1.25,17000,
1035,5.55,4.726330233,10.51989633,,0.91,104000,0
1037,1.11,1.11286284,,0.74190856,1.11,,0
1039,1.08,1.032496468,33.71916096,0.135854798,3.38,153000,0
1041,3.05,,23.28797031,,1.09,26000,0
1043,16.53,,1.588049924,0.384605841,3.15,27000,
1045,1.2,1.201748752,10.21486439,0.145038642,0.37,29000,0
1047,9.28,9.326788219,3.155680224,,1.02,257000,0
1049,16.99,,1.39143171,0.278286342,3.91,45000,
1051,2.35,,5.615874204,0.180740779,1.31,,
1053,1.14,,9.276240598,1.222656354,0.77,43000,0
1055,4.98,4.970159665,0.639435746,0.058130522,0.53,,0
1057,2.56,,0.456152355,0.057019044,1.02,,0
1059,3.03,,0.29385836,0.130603716,1.91,,0
1061,26.23,,23.29198585,0.505502197,18.1,77000,
1063,12.71,,1.538461538,0.32967033,18.25,,0
1065,2.54,2.54270079,1.879387541,,2.32,149000,0
1067,8.44,8.406893653,19.99639705,1.140935567,3.32,27000,0
1069,44.19,,4.15845244,0.759816001,1.57,243000,0
1071,17.59,,2.083491174,0.094704144,3.72,82000,0
1073,0.07,0.063494271,0.030235367,0.016629452,0.09,0,4.535305082
1075,3.46,,1.104667219,0,4.7,25000,0
1077,1.22,,0.158152776,0.079076388,2.08,32000,0
1079,2.31,,1.961875201,,2.95,11000,0
1081,0.13,,1.819697074,0.129978362,1.78,133000,72.78788296
1083,2.64,2.611319325,,,3.99,59000,0
1085,2.36,2.368919773,52.90587492,,1.26,106000,0
1087,3.18,,22.86818223,0.359421332,3.5,,0
1089,0.51,0.497138268,0.149778837,0.082856378,0.91,,
1091,4.71,,2.868563367,0,2.83,28000,0
1093,1.86,1.864343582,0.949120369,0.101691468,1.49,10000,0
1095,2.32,2.250767307,1.227691258,0.079572582,1.62,,0
1097,0.83,0.809408885,5.759635174,0.111046951,0.89,,0
1099,3.66,,18.14666725,0.26363197,2.73,16000,0
1101,0.04,,2.561511735,0.03545345,0.18,129000,0
1103,1.86,1.858477785,1.155035259,0.165005037,3.29,139000,
1105,11.08,10.34868544,19.01920567,0,3.82,426000,0
1107,2.24,,,,0.92,120000,0
1109,3.15,,24.54780362,0.03312794,5.63,106000,
1111,5,5.002456563,1.027290187,0.133994372,6.61,,82.85318683
1113,,,4.061560515,0,,145000,0
1115,7.5,,0.560402471,0.254728396,3.32,73000,
1117,0.28,0.277962481,0.327014683,0.174407831,0.28,,0
1119,8.7,7.988544728,1.884090738,0,2.25,485000,0
1121,0.21,0.137181054,0.935325369,0.137181054,1.12,108000,0
1123,0.37,,2.54920705,1.397161556,1.37,,0
1125,0.62,0.586598733,0.044693237,0.033519928,1.56,43000,
1127,6.64,6.641905178,0.043696745,0.087393489,2.01,10000,0
1129,5.52,5.547769213,4.087829946,0.992758701,7.26,61000,0
1131,4.15,4.213036566,5.484896661,0,0.71,185000,0
1133,1.28,1.274356655,1.315464935,0.082216558,1.78,2000,0
2010,,,,,,,
2013,,,,,,0,
2016,,,,,,0,
2020,2.98,,,0.050268578,3.01,,370.5691839
2050,,,,,,0,
2060,,,,,,0,
2068,,,,,,0,
2070,,,,,,0,
2090,3.47,3.47108788,,0.091881738,5.76,,379.0836328
2100,,,,,,0,
2105,,,,,,,
2110,,,0,,1.21,,
2122,,,,,2.92,,
2130,,,,,,0,
2150,,,,,,0,
2164,,,,,,0,
2170,,,,,,0,
2180,,,,,,0,
2185,,,,,,0,
2188,,,,,,0,
2195,,,,,,,
2198,,,,,,,
2201,,,,,,0,
2220,,,,,,0,
2230,,,,,,,
2231,,,,,,,
2232,,,,,,0,
2240,,,,,,0,
2261,,,,,,0,
2270,,,,,,0,
2275,,,,,,,
2280,,,,,,0,
2282,,,,,,0,
2290,,,,,,0,
4001,55.98,56.26605849,5.701665752,0,1.75,93000,0
4003,25.43,,47.75474416,0.031314586,10.19,817000,
4005,6.16,6.159229822,0.588461448,0,1.28,,0
4007,0.33,0.325477207,1.244471674,,0.6,,0
4009,,0.662137264,,0,15.3,,
4011,,,5.541237113,0,,,0
4012,493.8,,,0,,0,0
4013,4.52,,1.053457276,0.000516401,0.4,,
4015,,,0.520801421,0,0.15,,0
4017,18.22,18.23439851,3.270299732,,1.37,35000,
4019,0.08,0.083283748,,,0.31,,8.428716638
4021,32.61,,,0,0.88,,142.0862893
4023,,,2.553171554,0,1.01,41000,0
4025,0.64,0.64149733,1.749966982,0.023584461,2.55,759000,62.26297617
4027,473.9,474.9737024,84.13107024,,0.97,0,
5001,,,1.60497023,0,0.57,116000,0
5003,26.84,25.96819121,,0,0.81,14000,
5005,0.43,0.43015892,0.454056638,0.501852073,3.96,66000,0
5007,2.93,0.16590587,0.696804653,0.265449392,2.21,,
5009,1.28,,6.138651679,0.272828964,5.16,39000,0
5011,56.43,,0,0,5.27,0,0
5013,6.52,,,,7.24,,0
5015,1.25,1.246425691,4.655766552,0.43991495,12.24,55000,173.3998094
5017,,,13.24341891,,3.24,13000,0
5019,3.32,3.335585205,0,0,2.14,,0
5021,,,4.480955937,,1.68,,0
5023,,,0.514199826,0.197769164,0.47,,0
5025,,,0.228963938,0,0.34,0,0
5027,2.55,2.550600625,0.164554879,0,2.42,0,0
5029,0.29,0.290163459,19.19914885,,3.33,,0
5031,1.93,1.915017016,2.3746211,0.065657726,1.54,,0
5033,7.97,,1.016346235,0.728381469,1.7,,0
5035,0,0,0.95926942,0,0.08,,0
5037,90.77,,4.241155312,0,,,0
5039,,,0,0,,0,0
5041,,,1.895734597,0,,,0
5043,3.33,3.316749585,1.979350559,,2.15,,0
5045,1.06,0.965048061,1.452349558,0.267538076,1.05,64000,
5047,,,20.77577633,,6.17,,0
5049,,,,,2.13,20000,0
5051,0.23,,,0.103628017,1.48,0,0
5053,6.82,,0,,2.12,,0
5055,,,0.669941938,,1.64,,
5057,3.41,3.403412028,25.07323798,,2.85,,0
5059,2.23,,1.286920493,,4.43,,0
5061,,,7.585424642,,7.65,0,0
5063,0.17,0.173832426,9.09723027,0.289720709,3.62,3000,0
5065,1.7,1.68828179,2.071982196,0.383700407,0.93,,0
5067,75.18,,5.399377898,,6.46,0,0
5069,1.31,1.108130911,4.356969262,0.07555438,0.52,39000,0
5071,0.49,,4.277988538,2.825086771,1.95,,0
5073,,,9.201658891,,7.1,39000,0
5075,2.02,2.015770439,10.31600166,,1.78,,0
5077,7.03,,12.05382172,0.093440478,1.2,,0
5079,88.31,,,,,59000,
5081,1.64,,392.4109568,0.310390316,0.94,31000,0
5083,1.06,1.058621146,1.587931719,0.264655286,11.91,,0
5085,20.06,5.300325569,12.44082352,,17.35,80000,0
5087,1.36,1.351525293,2.767408933,0.064358347,12.41,5000,0
5089,,,1.264374737,0.301041604,10.43,,0
5091,1.22,,32.65658143,0.20978532,2.15,0,
5093,3.62,3.625831367,3.776013731,0,0.6,18000,0
5095,,,,0,,,0
5097,0.89,0.882223202,,0.771945302,2.22,,0
5099,6.75,,0,,,,0
5101,1.08,1.082641646,2.405870324,1.323228678,8.28,,
5103,1.38,1.383391615,0.422702994,0,0.65,,0
5105,1.35,1.351090523,8.29955607,,5.49,,
5107,2.36,1.277663701,10.17567876,,0.64,0,0
5109,,,,0,,,0
5111,0.81,0.803826213,1.044974077,,0.12,,0
5113,0.15,,1.142176094,0.347618811,2.08,,0
5115,1.22,1.030509849,2.365104571,0.168936041,2.97,0,
5117,,,18.94712957,0,1.26,170000,0
5119,4.7,,0.810683961,0.013333618,0.67,92000,0
5121,2.71,2.716186253,0.332594235,0,1.72,24000,0
5123,12.05,,,,0.45,,0
5125,1.48,1.488610037,,0.094348523,0.52,,0
5127,0.8,0.796883301,,,3.11,0,0
5129,2.23,2.234914328,,,16.6,,0
5131,0.26,0.262853106,0.328566383,0,0.83,,0
5133,0.37,0.366389839,5.617977528,,1.97,,0
5135,3.76,3.777201488,,,9.38,,0
5137,1.42,1.42725212,0.419780035,8.311644698,2.51,,0
5139,1.78,,0.675471083,,1.18,,
5141,,,1.275742664,0.546746856,7.1,,0
5143,0.69,0.672843818,1.361096273,0.374943502,3.1,13000,97.17713769
5145,1.21,1.20813933,2.823516636,5.199071497,3.25,147000,0
5147,58.31,58.09399478,17.10182768,0,,83000,0
5149,0.69,,,,4.56,,
6001,,,2.811555396,,0.22,,0
6003,0,0,0,0,,0,0
6005,0.16,0.155925156,103.3004158,,3.99,,0
6007,1.18,,413.716296,0.298519801,17.77,287000,
6009,1.2,,38.03466234,0.490907539,6.76,,0
6011,896.54,132.4170616,2485.402844,,17.64,,0
6013,6.22,4.721228806,4.837997827,0.026718335,1.75,487000,0
6015,0.24,0.243512141,0.313087038,0.487024282,1.76,45000,
6017,0.5,0.50070554,22.49761027,0.375529155,15.76,2539000,
6019,218.39,83.07112805,530.2071721,0.628168938,19.19,,84.86461218
6021,70.14,,2580.75515,6.173282607,110.27,334000,0
6023,2.19,2.107899568,3.142403783,0.264459724,9.27,112000,151.8309947
6025,519.09,466.3769128,53.79569235,0,3.81,,0
6027,,,1.777726804,0,,,0
6029,106.4,80.97878517,518.9432219,1.417125555,7.39,594000,
6031,214.91,29.04716099,389.0680251,0.216769858,3.19,,
6033,0.48,,233.4168678,0.278448116,8.92,,180.3725017
6035,11.75,,6.284816455,,4.89,42000,
6037,1.32,,0.20072522,0.014278816,0.36,,31.83436245
6039,32.12,,1316.285988,0.158377117,11.9,546000,
6041,0.87,0.873628606,1.023973994,0.016253555,6.7,,
6043,0.11,,7.459778433,,1.83,,0
6045,2.97,2.980364656,235.9513791,0.432445068,14.08,1778000,99.71949509
6047,243.77,112.6323108,595.9404812,0.551252041,58.33,632000,
6049,452.83,132.5274725,5.714285714,0,5.56,61000,
6051,,0,,0,0.47,,0
6053,626.98,613.9198639,109.4161884,27.42740901,6.78,504000,1924.191029
6055,0.22,0.219781885,382.9737247,0.113680286,8.71,,
6057,0.64,0.639557674,5.652864599,0.11346991,4.12,,710.0740649
6059,0.31,0.314412039,0.68325455,0.619019832,0.91,,0
6061,0.36,0.364600597,4.595172809,0.292283123,5.19,302000,
6063,0.39,0.388236436,,0,1.94,,0
6065,12.92,12.83850959,26.2996103,0.04912633,2.42,883000,
6067,4.01,1.681002632,20.9561112,0.069890105,2.53,,5.824175424
6069,494.11,424.9151454,136.629667,1.394367489,12.24,71000,
6071,2.17,2.159068615,2.669357432,0.058705793,1.58,,40.15476252
6073,1.21,,16.52072686,0.11493264,3.93,1607000,182.0603591
6075,0,0,0,0,0,0,0
6077,103.96,51.29831671,282.0204857,0.386323255,17.72,913000,
6079,113.91,111.4265626,205.0774533,2.636546354,16.35,3024000,266.7306061
6081,2.58,,0.565004969,,1.41,977000,
6083,164.02,154.1726696,70.02264675,13.90015955,11.45,453000,
6085,6.69,5.911503213,2.452540044,0.054526671,1.12,1091000,71.92879977
6087,66.3,63.11618944,14.62462919,22.59261332,33.24,,3140.817028
6089,0.84,,9.819666098,0.256504623,3.44,,
6091,0,0,,0,,0,0
6093,162.94,51.73895346,3.301524128,,7.06,302000,
6095,29.84,3.945871121,44.98588649,0.064040355,3.28,1742000,
6097,1.99,,148.2909428,0.270900517,10.39,1934000,58.29779119
6099,40.8,15.87840706,340.2137789,0.187594661,8.31,484000,
6101,195.78,102.571669,743.4232816,0.01092932,13,,
6103,0.97,0.970969653,615.8580739,0.29622803,15.14,178000,
6105,1.63,1.650757195,15.93339554,0.215316156,6.29,50000,0
6107,10.53,6.386521508,659.1981047,1.230210313,27.86,,
6109,0.13,0.125716133,4.741294158,0.143675581,3.43,,
6111,44.58,41.26781913,67.09503072,15.62042927,5.68,,
6113,251.36,21.24159413,177.828087,0.283633813,32.49,361000,
6115,1.2,1.199475578,335.8810567,0.32078998,9.06,,0
8001,2.76,,0.030981371,0.119159118,5.37,494000,
8003,1283.9,1280.708636,0,0,7.27,,0
8005,0.02,0.020242393,0,0,0.33,25000,
8007,,,1.762961776,,15.79,185000,0
8009,,,,0,5.95,,0
8011,0.17,0.172860847,0,0,11.25,22000,0
8013,1.8,1.758592585,0.121748717,0.003381909,2.48,260000,97.39897393
8014,,,,,0,0,
8015,0,0,0.237276071,0,1.2,,0
8017,0,0,0,0,18.79,,0
8019,0,0,0,0,,,0
8021,139.1,139.8950787,0,0,4.35,,0
8023,1380.32,,0,0,0.61,,0
8025,,,0,0,9.67,,0
8027,,,0,0,6,275000,
8029,37.55,,90.77070717,0.132367054,50.59,2043000,729.011549
8031,,,0,0,,0,0
8033,,,7.411328745,0,9.43,30000,0
8035,0.04,0.040447868,0.03309371,0,1.25,,0
8037,0,0,,0,0.98,,
8039,,,0,0,36.02,1053000,0
8041,0.04,0.044405125,0.010247337,,1.18,,0
8043,0.34,0.337980566,3.675538657,0.084495142,4.31,,
8045,0.22,0.226564713,1.302747097,0.037760785,5.47,306000,
8047,0,0,0,0,0.59,,0
8049,,,0,0,2.36,2992000,
8051,,,0,0,4.89,310000,65.38564185
8053,0,0,0,0,,,0
8055,,,,0,,67000,0
8057,0,0,0,0,8.72,538000,0
8059,0.08,0.08137836,0.00567756,0,0.22,,
8061,,,,0,24.77,,0
8063,,,,0,6.32,,0
8065,,,0,0,1.02,,0
8067,0.42,0.422807441,2.597245712,0,6.6,2229000,
8069,11.57,11.56043175,0.15334911,0.013940828,2.92,1120000,
8071,,,,0,2.63,857000,0
8073,0,0,0,0,7.72,36000,0
8075,0.67,0.669600153,0,0,12.58,,0
8077,5.71,5.734367882,19.82804128,,34.05,297000,147.5171561
8079,0,0,0,0,0,,0
8081,0,0,,0,30.71,4494000,0
8083,1.15,,16.36928469,,12.35,103000,299.5061335
8085,79.02,,8.060427862,,15.34,191000,
8087,41.07,,0.036295006,0,54.36,,1774.825784
8089,112.49,,,,2.4,,
8091,0.69,0.681818182,,0,13.7,133000,0
8093,0,0,0,0,3.24,1341000,0
8095,,,0,0,12.54,,0
8097,,,0,0,1.13,63000,0
8099,,,0,0,0.38,,0
8101,10.05,,0.17492938,,3.25,87000,
8103,,,,0,2.73,1112000,0
8105,1871.08,1868.341795,0,0,61.79,,0
8107,,,0,0,3.05,3770000,
8109,2640.01,,,0,,146000,0
8111,0,0,0,0,0,0,0
8113,0.53,0.536264915,0,0,10.39,681000,
8115,0,0,0,0,2.58,,0
8117,0,0,0,0,0.91,,0
8119,,,0,,1.65,,
8121,0,0,0,0,19.98,12000,0
8123,53.93,53.00309598,0.243550052,,9.08,605000,
8125,200,201.0438413,,0,16.72,173000,0
9001,0.42,,0.255323839,0.05848828,4.01,,185.4978309
9003,5.75,5.648049953,1.222962406,0.296302398,10.67,,50.58648426
9005,5.12,4.908073117,2.138328072,0.636722999,11.61,1895000,329.1221182
9007,2.5,,1.420437226,0.225562993,29.11,,
9009,2,1.999717882,0.93288558,0.098385646,4.1,354000,63.48837568
9011,1.58,,1.168325891,0.578491461,11.81,713000,112.6886241
9013,7.32,7.118758435,1.902834008,0.748987854,8.3,,69.90553306
9015,4.71,,3.111606378,0.42859592,17.96,,
10001,113.91,36.57045171,,0.230126899,9.14,,
10003,1.46,1.002300175,,0.039788854,0.64,,
10005,119.88,29.12117609,,0.140525349,9.69,,364.441682
11001,,,,,,0,
12001,16.11,,8.264084331,3.368082732,2.84,,18.45159786
12003,6.03,,3.983596954,,1.48,0,0
12005,0.12,0.116350276,0.391916718,0.073484385,0.21,0,0
12007,6.7,6.414456668,7.690450736,1.793288961,4.93,,20.6917957
12009,,,8.980047043,,0.51,,0
12011,0.44,0.439618814,0.198629855,,0.04,,
12013,,,5.697373289,,3.69,,
12015,20.12,19.51219512,79.90587337,0,0.34,106000,0
12017,0.18,0.178778301,1.580400177,0.979705087,0.58,,0
12019,0.08,,0.3234791,,0.24,,0
12021,41.39,,68.97783789,0,5.69,,0
12023,7.69,7.655276989,5.608962563,0.176660238,1.31,5000,0
12025,,,,,,,
12027,45.71,44.64896284,1488.574196,1.652609984,8.37,,0
12029,,,4.841638088,0.605204761,1.27,,0
12031,,,0.256820771,0.021205385,0.07,281000,
12033,0.4,0.403199154,1.751602882,0.194989755,1.33,625000,0
12035,69.03,,,,0.09,,0
12037,0,0,0,0,,0,0
12039,33.17,33.1920904,4.280089026,0.128402671,1.58,,
12041,176.18,,4.787799976,1.714150609,5.95,,0
12043,,,872.5266709,,7.95,1284000,
12045,,,,0,,0,0
12047,220.98,,,2.245456459,4.85,24000,0
12049,116.32,112.5832408,1440.552164,5.306603774,6.53,,0
12051,251.03,,2913.703393,0,0.97,,
12053,0.78,0.775230498,5.521298126,0.414245304,3.32,,0
12055,16.34,16.424395,576.9043365,1.045557902,1.36,140000,
12057,11.03,,11.2649691,5.21065723,2.02,132000,289.1504475
12059,5.94,5.91035096,20.34625242,1.202991788,6.77,27000,0
12061,2.81,2.777840511,388.9428397,,3.56,,
12063,79.03,,7.823511388,0.653661526,5.17,77000,
12065,15.11,,131.3700014,3.175978057,7.69,30000,0
12067,65.48,,8.724915867,0.24928331,5.78,,0
12069,0.91,0.906774332,42.35364199,0.423602608,1.72,50000,0
12071,5.61,,14.97443889,0.015377676,0.97,,
12073,0.14,,1.130481121,0.041869671,0.08,,0
12075,70.19,,2.678341489,0.206026268,6.91,,0
12077,0,0,,0,9.98,,0
12079,17.61,,13.64810033,1.317384202,7.46,32000,0
12081,103.89,74.36303248,57.32309642,,2.97,,
12083,3.36,3.327843681,5.699125783,0.337427871,1.8,,9.596572476
12085,,,285.5651172,0.014402477,0.79,,4418.247939
12086,14.04,13.07647193,4.63203165,0.013449806,0.8,73000,16.79187893
12087,0,0,0,0,0,0,0
12089,0.28,0.277611373,2.030946363,0.219166874,0.82,,0
12091,0.7,,1.625108479,0.702002642,1.26,159000,
12093,,,221.5725958,,16.24,,
12095,,,7.671765857,0,0.14,,5.74045813
12097,,,33.48265275,0.019358611,0.23,1170000,0
12099,63.31,,3.948134184,0.000790734,0.76,321000,
12101,0.48,0.485240422,20.35833808,0.226300466,0.8,,0
12103,,,0.069021127,,,,0
12105,4.14,,169.2064107,1.752449506,1.85,,12.56881198
12107,41.83,16.61242202,5.126118796,1.098454028,2.47,,0
12109,84.83,26.11791739,,0.0056877,0.25,0,
12111,,,207.7815873,,0.43,,0
12113,1.24,1.238553532,2.152240564,0.142129094,1.21,579000,0
12115,,,2.375007117,,0.24,,0
12117,0.21,0.210625312,2.160134016,0.034287842,0.52,,
12119,5.62,5.569996287,0.536370013,1.40281388,4.18,,
12121,203.58,,15.55493629,0.709345629,3.1,,8902.28764
12123,,,,0.190958132,1.05,,0
12125,29.84,30.28451144,10.72859374,,4.21,,
12127,0.18,,3.622919628,0.036088851,0.9,,2.165331045
12129,1.06,,1.653111155,0.462871123,1.76,26000,
12131,1.38,,6.39905818,0.265836245,0.87,7000,
12133,5.12,,6.249180614,1.835423677,3.06,,0
13001,19.16,19.15666015,81.31806758,37.97821837,4.13,,0
13003,30.16,,18.86099204,26.69932639,1.59,,0
13005,32.34,,51.02234002,286.823173,1.91,,0
13007,0.79,0.801282051,47.00854701,0,0,,0
13009,0.56,0.558887384,5.008490789,0.257948023,1.08,22000,0
13011,0.61,0.608161528,,,1.94,,0
13013,0.22,0.223313979,1.310108679,0.029775197,0.19,12000,1607.860652
13015,0.32,0.323565258,0.07549856,0.129426103,0.58,,
13017,,,27.5332882,,0.74,,0
13019,142.76,,246.7944877,5.871779509,9.41,,0
13021,0,0,1.840003615,0,,0,0
13023,,,13.17533328,1.091447727,1.82,21000,0
13025,1.95,1.943760529,9.977970714,19.69677336,7.07,,
13027,378.89,348.5070974,162.1390113,,3.49,25000,0
13029,0.4,0.398883127,,,0.33,0,0
13031,16.62,16.5632717,24.66421731,,3.99,,0
13033,6.6,6.572317399,18.88445866,2.760373308,5.37,26000,0
13035,,,3.256640162,,0.21,,0
13037,,,442.5517702,,,154000,0
13039,0,0,0.10556318,,0.21,0,0
13043,,,37.76840491,8.914877301,3.72,15000,0
13045,0.03,0.026802945,0.428847116,0.125080409,0.75,,
13047,1.24,1.2328482,0.160110156,,2.38,,0
13049,0,0,4.531722054,1.69939577,,,
13051,0,0,,,0,,0
13053,0,0,0,,0,,0
13055,0.63,0.632675847,2.084108671,,1.08,,0
13057,0.13,0.132424346,0.230516455,0.05395066,0.52,,0
13059,0.21,0.211533885,0.123394766,,,,
13061,8.74,8.802263439,,0,0,,0
13063,,,0,0,,,
13065,,,41.06835152,284.4629523,,0,0
13067,0.02,0.023138239,0.057845599,0.00144614,0.09,,0
13069,6.08,6.046638416,5.897950586,1.362971774,0.55,,0
13071,436.88,,36.58482043,,4.34,,0
13073,0.17,0.16535151,0.29395824,,0.12,,0
13075,193.58,,22.98640327,0,0.3,,0
13077,0.15,0.151306278,0.159712182,0.067247234,0.3,128000,
13079,,,546.3317384,0.558213716,,,0
13081,117.46,117.1829208,118.039587,0,,0,0
13083,,,,0.308737265,1.99,,0
13085,0.23,0.23146005,0.97213221,,0.23,,0
13087,744.74,744.4557335,47.54230459,0.280278877,0.14,4000,0
13089,,,0,0,0,,0
13091,71.51,,6.423224762,0,0.25,,0
13093,58.64,58.77253814,251.7337032,,4.67,18000,0
13095,,,118.1834398,0,0.09,,0
13097,0.03,0.032173997,0.394131463,0,0.15,,0
13099,0,0,87.91394935,,2.79,,
13101,1170.65,1144.163658,4.332129964,,,,0
13103,0.79,0.786813014,0.944175617,,1.91,,0
13105,0.63,0.630669966,1.01877456,,1.8,21000,
13107,0.67,0.665070497,46.42192072,0.532056398,1.38,,0
13109,23.17,23.25581395,60.55287407,,7,0,
13111,0.36,0.354688539,10.3303037,0.266016404,3.33,,0
13113,0.09,0.084959361,0.415356877,,0.8,2000,0
13115,0.25,0.252320826,1.377251175,0.042053471,0.37,7000,0
13117,0.15,0.15154481,0.063143671,0.018943101,1.45,,
13119,1.97,1.969495717,1.877891266,0.68703339,4.54,,0
13121,0.04,0.039362529,0.088818014,0.01614873,0.18,,0
13123,0.88,0.874798796,9.937714326,,11.16,,
13125,0,0,32.14156735,0,0,,0
13127,,,0,0.093641727,,,0
13129,0.44,0.442265167,0.576867609,0.269204884,1.85,18000,0
13131,73.64,73.66223757,97.62755409,0.441571996,1.97,,0
13133,,,2.478393493,0,,0,0
13135,0.02,0.019418381,0.027185733,0.009061911,0.01,,
13137,0.9,0.901242766,1.636467128,0.09486766,4.23,,0
13139,0.46,0.458515528,0.575940236,0.033549917,0.89,151000,
13141,1.26,1.247012366,22.2383872,0,0.52,17000,0
13143,0.84,0.836003901,1.149505364,0.801170405,0.49,,0
13145,1.38,1.374003847,5.427315196,1.064852982,2.9,,0
13147,2.03,2.031256477,2.735978112,0.124362641,7.08,,0
13149,1.76,1.75070028,1.925770308,0,2.9,,0
13151,0.22,0.216330813,0.849098441,0.102757136,0.19,,0
13153,0.69,0.693116817,10.71665232,,0.19,32000,0
13155,24.03,23.87880004,129.5274406,,1.21,,0
13157,4.23,4.185711655,0.267885546,0.117199926,13.15,5000,0
13159,2.27,2.269399707,16.39824305,,3.08,62000,0
13161,,,7.630127672,4.834932386,,0,0
13163,7.98,7.995117486,88.37351236,0.366188587,6.09,,0
13165,,,145.3992039,0,,62000,0
13167,8.83,8.922880816,12.53452305,,1.89,20000,0
13169,,,14.84658529,,0.11,,0
13171,2.37,2.362669817,29.53337271,0.177200236,1.24,,0
13173,2.9,2.869619464,,10.23081722,0.25,,0
13175,3.04,3.032855939,5.791912384,1.095197978,0.78,68000,
13177,17.31,,172.7625045,0.242218724,0.55,,0
13179,,,0.132139672,,,,0
13181,,,2.988419873,0,,0,0
13183,,,,9.699234739,0,,0
13185,15.86,15.84820331,9.880548592,0.550557931,1.29,,0
13187,,,3.006727553,1.089938738,2.07,,0
13189,1.07,1.068475332,11.84613955,0.278732695,0.42,,0
13191,,,,,0.61,0,
13193,94.26,,303.9538715,,1.33,76000,0
13195,2.36,2.375809935,2.087832973,,7.87,138000,
13197,85.24,84.42111237,17.30987514,0,5.44,29000,0
13199,1.19,1.184834123,33.35088643,0.570475689,1.5,,0
13201,,,51.10317975,0.811161583,12.02,,0
13205,248.19,240.596197,324.4623433,,7.17,,0
13207,,,1.675375962,,2.19,,0
13209,63.61,63.65457378,108.3908302,0,4.23,27000,0
13211,0.22,0.219961507,2.144624691,0.49491339,1.33,833000,0
13213,5.28,5.25424145,,,1.85,,0
13215,0,0,0.021434734,0.037510784,0.02,,0
13217,0.2,0.19845622,0.386467375,0.188011155,,,
13219,1.02,1.01551839,5.109326902,0.476024246,5.64,,
13221,0.86,0.85947572,4.010886692,0.42973786,1.8,38000,
13223,0.02,0.023455275,,0.01563685,0.02,,0
13225,1.64,1.642224259,382.3709135,0.305530095,3.78,,0
13227,1.05,1.052423864,0.690653161,0.263105966,3.32,19000,
13229,3.7,3.697271862,85.65346479,31.70690718,2.08,,0
13231,2.04,2.035712208,25.99895306,1.163264119,11.43,,0
13233,0.53,0.530798369,0.361907979,0.16889039,1.11,103000,0
13235,70.82,70.7946547,304.3966133,,14.8,17000,0
13237,,,,0,0.89,,0
13239,,,,0,0,,0
13241,,,4.648635595,1.750784835,,,784.834581
13243,0,0,91.84514003,0,0,36000,0
13245,0.19,0.192578628,0.126696466,,0.02,,0
13247,,,0.048878842,0,1.07,,0
13249,,,56.24242424,0,0,103000,0
13251,13.76,13.75689506,148.4016748,0,7.58,260000,0
13253,209.88,,99.97780737,0,4.31,,0
13255,0.03,0.031717838,0.634356762,,,,0
13257,0,0,,,1.15,,0
13259,,,113.53236,0,2.8,,0
13261,140.16,,114.4348894,0.614250614,8.22,481000,0
13263,1.21,1.218026797,30.90742996,0,0.91,,0
13265,,,0,0,,,0
13267,400.18,,108.8962396,0.957520891,6.18,,0
13269,50.53,50.83766609,,,0.34,67000,0
13271,79.5,79.93683261,66.32576327,0,1.35,,0
13273,,,91.83076623,0,2.24,22000,0
13275,3.39,3.377408887,108.8938434,0.375267654,2.1,286000,0
13277,210.3,194.0833175,37.2224331,0.521920668,1.79,,0
13279,234.52,234.3429251,34.68145641,0.936363309,,38000,0
13281,,,,,2.58,,0
13283,9.05,9.123823316,8.979000724,,4.6,0,0
13285,,,0.220827155,0.599387993,0.02,,0
13287,114.68,113.4328358,287.6332623,1.918976546,3.88,,0
13289,0.19,0.19573302,23.2922294,0,,,0
13291,1.67,,1.052933857,0.717909448,5.33,,0
13293,0.18,0.181507968,6.062366138,0.326714343,0.58,,0
13295,0.73,0.72802751,0.371758729,0.185879364,2.9,,
13297,0.48,0.48053243,1.381530736,0.180199661,1.77,,115.3277832
13299,,,35.26203,12.71882219,1.48,,0
13301,5.27,5.285592498,13.81074169,0,3.06,,0
13303,2.01,2.014098691,71.11686568,0,2.58,,0
