FIPS,GROCPTH12,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVSPTH12,SPECSPTH12,SNAPSPTH12,WICSPTH12
1001,0.072053896,0.018013474,-10.23165328,0.612458119,0,0.674004155,0.0900674
1003,0.136275486,0.031448189,81.15729336,0.566067404,0.120551392,0.725055471,0.1415168
1005,0.183816771,0.036763354,,0.698503731,0.110290063,1.280590174,0.2573435
1007,0.22126831,0.044253662,,0.752312254,0.044253662,0.719122007,0.2212683
1009,0.138346073,0.017293259,-1.660152872,0.484211254,0,0.657143845,0.1037596
1011,0.190949017,0,0,0.286423525,0.095474508,1.368467952,0.190949
1013,0.147732309,0.049244103,,0.886393854,0,1.341901807,0.1969764
1015,0.221661438,0.02557632,188.5213477,0.707611513,0.00852544,1.175800255,0.1619834
1017,0.234852043,0.029356505,1.95807891,0.76326914,0.058713011,1.00546031,0.176139
1019,0.153721994,0.038430498,-5.945198109,0.73017947,0.038430498,1.191345452,0.230583
1021,0.159748054,0.022821151,-3.325041649,0.844382574,0.091284603,1.066888793,0.159748
1023,0.22005428,0,0,1.173622827,0,1.198073303,0.2200543
1025,0.198720242,0.079488097,4.987878065,0.596160725,0.079488097,1.596385941,0.3179524
1027,0.223297358,0,0,0.372162263,0,0.756729934,0.2232974
1029,0.202265372,0,0,0.606796117,0,1.123696512,0.337109
1031,0.117068602,0.019511434,-8.674783423,0.546320144,0,0.731678764,0.1560915
1033,0.183668222,0.018366822,0.293869155,0.863240642,0.073467289,1.023950336,0.1469346
1035,0.231107003,0,0,1.155535013,0,1.752561436,0.0770357
1037,0.091190954,0,0,0.911909539,0,0.455954769,0.091191
1039,0.210775919,0.02634699,,0.948491635,0.07904097,1.284415755,0.2371229
1041,0.355037989,0,0,0.497053185,0,1.437903856,0.355038
1043,0.161611139,0.012431626,0.201392342,0.621581303,0.049726504,0.963451019,0.1367479
1045,0.198239632,0.019823963,-4.323606375,0.634366823,0,0.725226654,0.1585917
1047,0.186636805,0.023329601,-0.195968645,0.79320642,0,1.296736967,0.233296
1049,0.196961171,0.014068655,-3.946257738,0.604952167,0.02813731,1.179422247,0.1547552
1051,0.124024855,0.024804971,92.13682422,0.632526758,0.012402485,0.815463419,0.1240249
1053,0.131599726,0.026319945,,0.789598358,0,1.112017687,0.1579197
1055,0.143689172,0.019158556,,0.622653077,0.028737834,0.967507089,0.1628477
1057,0.353294471,0.058882412,3.267973856,0.412176883,0,0.745843883,0.2944121
1059,0.220396083,0.031485155,,0.59821794,0.031485155,0.968168509,0.2203961
1061,0.371319297,0,0,0.519847016,0.03713193,0.860223039,0.2599235
1063,0.225326724,0,0,0.901306895,0,1.708727655,0.2253267
1065,0.194957109,0,0,0.779828438,0,0.980201022,0.1949571
1067,0.173540811,0,0,0.809857118,0.057846937,1.017141976,0.1735408
1069,0.164406878,0.029012978,-5.812266687,0.676969498,0.048354964,1.170190132,0.2030908
1071,0.207472793,0.018861163,-0.420603934,0.811030008,0.018861163,1.038935727,0.2074728
1073,0.160603871,0.028787486,58.68550025,0.695445062,0.049999318,0.835720927,0.1424223
1075,0.280524581,0,0,0.490918017,0,0.864950791,0.2805246
1077,0.216118087,0.021611809,-4.343973547,0.551101122,0.010805904,0.871676284,0.1728945
1079,0.14776287,0.029552574,,0.650156629,0.029552574,0.802844928,0.1773154
1081,0.108653578,0.020372546,33.22728291,0.509313649,0.013581697,0.598160585,0.1018627
1083,0.114084925,0.011408492,-15.68097292,0.707326534,0.022816985,0.708277242,0.1026764
1085,0.18421295,0,0,0.552638851,0.092106475,1.535107918,0.1842129
1087,0.194789384,0,0,0.779157536,0,0.633065498,0.1947894
1089,0.113676111,0.032062493,11.78979959,0.603357817,0.037892037,0.663353542,0.102017
1091,0.19606882,0.049017205,,0.980344101,0,1.254023496,0.2941032
1093,0.098921753,0.065947835,,0.69245227,0.032973918,0.752904453,0.2308174
1095,0.221575082,0.031653583,39.22828564,0.685827636,0.042204778,0.940814834,0.1477167
1097,0.137702447,0.019326659,30.53032353,0.567720614,0.067643307,1.119335678,0.1328708
1099,0.221219361,0.044243872,,0.619414211,0,1.131905731,0.2654632
1101,0.147730383,0.026070068,47.06646564,0.530091376,0.052140135,0.847639283,0.1216603
1103,0.14950787,0.016611986,-4.358154408,0.872129241,0.041529964,0.833367942,0.1495079
1105,0.392888714,0,0,0.589333071,0,1.841665848,0.3928887
1107,0.20613244,0,0,0.46379799,0,1.232500215,0.3607318
1109,0.180820927,0.030136821,-9.028991622,0.572599602,0,1.21049565,0.2109578
1111,0.1323043,0.044101433,,0.705622933,0.044101433,0.801176038,0.1764057
1113,0.172950536,0.017295054,-13.13213421,0.588031823,0.017295054,0.913755333,0.1902456
1115,0.140783932,0.035195983,176.3412603,0.668723676,0,0.772356293,0.1407839
1117,0.139344385,0.019906341,21.74585243,0.502635102,0.004976585,0.504708679,0.1293912
1119,0.223430401,0,0,1.415059209,0,1.259899208,0.372384
1121,0.122306206,0.024461241,96.14490839,0.880604682,0,1.091582887,0.1467675
1123,0.170034979,0.024290711,-0.901185387,1.117372717,0,0.836005312,0.1943257
